headline,links,labels
Feliciano admite espalhar fake news contra o PT sobre fechamento de igrejas evangélicas,https://news.google.com/articles/CBMieGh0dHBzOi8vd3d3LmJyYXNpbDI0Ny5jb20vYnJhc2lsL2ZlbGljaWFuby1hZG1pdGUtZXNwYWxoYXItZmFrZS1uZXdzLWNvbnRyYS1vLXB0LXNvYnJlLWZlY2hhbWVudG8tZGUtaWdyZWphcy1ldmFuZ2VsaWNhc9IBfGh0dHBzOi8vd3d3LmJyYXNpbDI0Ny5jb20vYnJhc2lsL2ZlbGljaWFuby1hZG1pdGUtZXNwYWxoYXItZmFrZS1uZXdzLWNvbnRyYS1vLXB0LXNvYnJlLWZlY2hhbWVudG8tZGUtaWdyZWphcy1ldmFuZ2VsaWNhcz9hbXA?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Brasil
Feliciano confirma que dissemina fake news terrorista de Lula entre evangélicos,https://news.google.com/articles/CAIiEOvS5aZBmurCss-FRovEx_QqGQgEKhAIACoHCAowmfCQCzDYjaUDMMaNtQY?uo=CAUiigFodHRwczovL3JldmlzdGFmb3J1bS5jb20uYnIvcG9saXRpY2EvMjAyMi84LzE1L2ZlbGljaWFuby1jb25maXJtYS1xdWUtZGlzc2VtaW5hLWZha2UtbmV3cy10ZXJyb3Jpc3RhLWRlLWx1bGEtZW50cmUtZXZhbmdlbGljb3MtMTIxNjU4Lmh0bWzSAQA&hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Brasil
Veja a notícia falsa que mais está causando estragos ao PT,https://news.google.com/articles/CAIiECda4EqUBYvNakEphAb-k6IqGQgEKhAIACoHCAow9-r6CjCyvvICMNWcywY?uo=CAUic2h0dHBzOi8vd3d3Lm1ldHJvcG9sZXMuY29tL2Jsb2ctZG8tbm9ibGF0L3JpY2FyZG8tbm9ibGF0L3ZlamEtYS1ub3RpY2lhLWZhbHNhLXF1ZS1tYWlzLWVzdGEtY2F1c2FuZG8tZXN0cmFnb3MtYW8tcHTSAQA&hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Brasil
Feliciano admite espalhar fake news sobre fechamento de igrejas caso Lula vença,https://news.google.com/articles/CAIiEGZQURfYtLXR7U70s0FCJI4qGAgEKg8IACoHCAowx6PTATDFxjUw0pysAw?uo=CAUieWh0dHBzOi8vd3d3LmRpYXJpb2RvY2VudHJvZG9tdW5kby5jb20uYnIvZmVsaWNpYW5vLWFkbWl0ZS1lc3BhbGhhci1mYWtlLW5ld3Mtc29icmUtZmVjaGFtZW50by1kZS1pZ3JlamFzLWNhc28tbHVsYS12ZW5jYS_SAQA&hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Brasil
Lula tem 45% e Bolsonaro 34% em pesquisa BTG/FSB,https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lGbEpfY0JSRzlRZEFrWHBtbnV5Z0FQAQ?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,elections
Pesquisa FSB/BTG: Lula amplia vantagem em relação a Bolsonaro,https://news.google.com/articles/CAIiEO59kOtBg_zjkJWc3Opr2t0qGQgEKhAIACoHCAowmvOrCzCX_sMDMKCXqgc?uo=CAUiVGh0dHBzOi8vd3d3LnBvZGVyMzYwLmNvbS5ici9lbGVpY29lcy9sdWxhLXRlbS00NS1lLWJvbHNvbmFyby0zNC1lbS1wZXNxdWlzYS1idGctZnNiL9IBAA&hl=pt-BR&gl=BR&ceid=BR%3Apt-419,elections
"Lula ganha terreno, chega a 45% e Bolsonaro estabiliza em 34%, segundo pesquisa FSB",https://news.google.com/articles/CAIiECnJ70DLcsohXOkV_6eT8-kqGAgEKg8IACoHCAow6JnTATDqujUwls-aAg?uo=CAUilAFodHRwczovL3d3dy50ZXJyYS5jb20uYnIvbm90aWNpYXMvZWxlaWNvZXMvcGVzcXVpc2EtZnNiYnRnLWx1bGEtYW1wbGlhLXZhbnRhZ2VtLWVtLXJlbGFjYW8tYS1ib2xzb25hcm8sNTEzOTU0ZGY4NTUwMjZjOWM4YTRiNmNmNzRhMTdlMGNoMWFyNXJxOS5odG1s0gEA&hl=pt-BR&gl=BR&ceid=BR%3Apt-419,elections
"Janones empurra Lula, que volta a abrir sobre Bolsonaro em pesquisa",https://news.google.com/articles/CCAiC1ktRm8xdW1Vd0N3mAEB?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,elections
Boletim 247 - Lula cresce na pesquisa FSB e pode levar no 1º turno,https://news.google.com/articles/CBMiamh0dHBzOi8vdmVqYS5hYnJpbC5jb20uYnIvY29sdW5hL3JhZGFyL2phbm9uZXMtZW1wdXJyYS1sdWxhLXF1ZS12b2x0YS1hLWFicmlyLXNvYnJlLWJvbHNvbmFyby1lbS1wZXNxdWlzYS_SAW5odHRwczovL3ZlamEuYWJyaWwuY29tLmJyL2NvbHVuYS9yYWRhci9qYW5vbmVzLWVtcHVycmEtbHVsYS1xdWUtdm9sdGEtYS1hYnJpci1zb2JyZS1ib2xzb25hcm8tZW0tcGVzcXVpc2EvYW1wLw?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,elections
"Semana terá calor, frio polar, raios, chuva, ciclone, geada e mais",https://news.google.com/articles/CCAiC05FV3JOYzRKSmNJmAEB?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,weather
Semana começa com chuva e pode terminar sob neve no RS,https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2ltNHJyYUJSRUNpNVhUQ1RJQll5Z0FQAQ?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,weather
Semana de grandes mudanças no centro-sul do Brasil,https://news.google.com/articles/CBMiUWh0dHBzOi8vbWV0c3VsLmNvbS9zZW1hbmEtdGVyYS1jYWxvci1mcmlvLXBvbGFyLXJhaW9zLWNodXZhLWNpY2xvbmUtZ2VhZGEtZS1tYWlzL9IBAA?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,weather
Frente fria forte e intensa massa de ar polar vão atingir o Brasil,https://news.google.com/articles/CBMijgFodHRwczovL2dhdWNoYXpoLmNsaWNyYnMuY29tLmJyL2FtYmllbnRlL25vdGljaWEvMjAyMi8wOC9zZW1hbmEtY29tZWNhLWNvbS1jaHV2YS1lLXBvZGUtdGVybWluYXItc29iLW5ldmUtbm8tcnMtY2w2dHJhajlvMDAxZzAxN3I5MW01cDZ0eC5odG1s0gGKAWh0dHBzOi8vZ2F1Y2hhemguY2xpY3Jicy5jb20uYnIvYW1iaWVudGUvYW1wLzIwMjIvMDgvc2VtYW5hLWNvbWVjYS1jb20tY2h1dmEtZS1wb2RlLXRlcm1pbmFyLXNvYi1uZXZlLW5vLXJzLWNsNnRyYWo5bzAwMWcwMTdyOTFtNXA2dHguaHRtbA?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,weather
Temperatura cai e pode nevar na serra na próxima semana,https://news.google.com/articles/CAIiEKw61qydhICIWvp1kmYkc_0qGAgEKg8IACoHCAow6JnTATDqujUwls-aAg?uo=CAUiggFodHRwczovL3d3dy50ZXJyYS5jb20uYnIvbm90aWNpYXMvc2VtYW5hLWRlLWdyYW5kZXMtbXVkYW5jYXMtbm8tY2VudHJvLXN1bC1kby1icmFzaWwsM2NhNjQ5ZmFmM2QwYzg4ZmVlMjMyNzM5NzRhYTAxNjlxanZ4cmMzZC5odG1s0gEA&hl=pt-BR&gl=BR&ceid=BR%3Apt-419,weather
AO VIVO: 200+: A evolução do Brasil - Economia | 14/08/2022,https://news.google.com/articles/CBMiVmh0dHBzOi8vbWV0c3VsLmNvbS9mcmVudGUtZnJpYS1mb3J0ZS1lLWludGVuc2EtbWFzc2EtZGUtYXItcG9sYXItdmFvLWF0aW5naXItby1icmFzaWwv0gEA?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Brasil
CBN Rio - 15/08/2022,https://news.google.com/articles/CBMiWWh0dHBzOi8vYWdvcmFub3ZhbGUuY29tLmJyL3RlbXBvL3RlbXBlcmF0dXJhLWNhaS1lLXBvZGUtbmV2YXItbmEtc2VycmEtbmEtcHJveGltYS1zZW1hbmEv0gEA?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Other
LIVE CNN - 11/08/2022,https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2l1Z1pMY0JSRWZzQkRYdnhJLXppZ0FQAQ?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Other
AO VIVO: AGORA CNN - 15/08/2022,https://news.google.com/articles/CCAiCzFpTHVvMmZqenVJmAEB?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Live
Repórter Nacional - 15 de agosto de 2022,https://news.google.com/articles/CCAiC2d6RGoyQXg2eThZmAEB?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Live
Alexandre de Moraes assume o TSE nesta terça; confira o perfil do ministro,https://news.google.com/articles/CCAiC2dld21qS3ZVakI4mAEB?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Brasil
"Quem é Alexandre de Moraes, ministro que assume o TSE",https://news.google.com/articles/CCAiC3U3Ni1sckg1aW13mAEB?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Brasil
Lula deve comparecer à posse de Moraes na presidência do TSE,https://news.google.com/articles/CCAiC01NcmM2c25GaWVZmAEB?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,politics
Os conselhos de dois ex-ministros do TSE para Alexandre de Moraes,https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2l0aExMYUJSR3kxZHFBN2pIcU95Z0FQAQ?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Brasil
Moraes tem um plano para que eleições aconteçam sem turbulências; Saiba qual,https://news.google.com/articles/CAIiEBmWU7EQMYQk2gB0m_tw0sYqGQgEKhAIACoHCAow9rr5CjD-4fECMLDG5QU?uo=CAUijQFodHRwczovL3d3dy5jb3JyZWlvYnJhemlsaWVuc2UuY29tLmJyL3BvbGl0aWNhLzIwMjIvMDgvNTAyOTI2My1hbGV4YW5kcmUtZGUtbW9yYWVzLWFzc3VtZS1vLXRzZS1uZXN0YS10ZXJjYS1jb25maXJhLW8tcGVyZmlsLWRvLW1pbmlzdHJvLmh0bWzSAQA&hl=pt-BR&gl=BR&ceid=BR%3Apt-419,elections
Jardineiro isolado por 5 dias em ilha no Rio conta que comeu limão e carvão para sobreviver,https://news.google.com/articles/CAIiEP7318owHkIhY6Ryxqa0shAqGAgEKg8IACoHCAowqKzwAjCgpSIwspjOBQ?uo=CAUiiQFodHRwczovL3d3dy5lbS5jb20uYnIvYXBwL25vdGljaWEvcG9saXRpY2EvMjAyMi8wOC8xNS9pbnRlcm5hX3BvbGl0aWNhLDEzODY1OTUvcXVlbS1lLWFsZXhhbmRyZS1kZS1tb3JhZXMtbWluaXN0cm8tcXVlLWFzc3VtZS1vLXRzZS5zaHRtbNIBAA&hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Highlights
"Homem fica isolado 5 dias em ilha ao ser arrastado pelo mar, é resgatado e passa bem",https://news.google.com/articles/CBMifmh0dHBzOi8vZzEuZ2xvYm8uY29tL2Vjb25vbWlhL2Jsb2cvYW5hLWZsb3IvcG9zdC8yMDIyLzA4LzE1L2x1bGEtZGV2ZS1jb21wYXJlY2VyLWEtcG9zc2UtZGUtbW9yYWVzLW5hLXByZXNpZGVuY2lhLWRvLXRzZS5naHRtbNIBiQFodHRwczovL2cxLmdsb2JvLmNvbS9nb29nbGUvYW1wL2Vjb25vbWlhL2Jsb2cvYW5hLWZsb3IvcG9zdC8yMDIyLzA4LzE1L2x1bGEtZGV2ZS1jb21wYXJlY2VyLWEtcG9zc2UtZGUtbW9yYWVzLW5hLXByZXNpZGVuY2lhLWRvLXRzZS5naHRtbA?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Highlights
Jardineiro é resgatado após ficar 5 dias ilhado,https://news.google.com/articles/CBMibWh0dHBzOi8vdmVqYS5hYnJpbC5jb20uYnIvY29sdW5hL21hcXVpYXZlbC9vcy1jb25zZWxob3MtZGUtZG9pcy1leC1taW5pc3Ryb3MtZG8tdHNlLXBhcmEtYWxleGFuZHJlLWRlLW1vcmFlcy_SAXFodHRwczovL3ZlamEuYWJyaWwuY29tLmJyL2NvbHVuYS9tYXF1aWF2ZWwvb3MtY29uc2VsaG9zLWRlLWRvaXMtZXgtbWluaXN0cm9zLWRvLXRzZS1wYXJhLWFsZXhhbmRyZS1kZS1tb3JhZXMvYW1wLw?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Highlights
Homem é resgatado após ficar isolado por cinco dias em ilha na Zona Oeste,https://news.google.com/articles/CAIiEO-HUjEm3HkbPrJc4Kjh7OsqGAgEKg8IACoHCAowx6PTATDFxjUwqZLtBQ?uo=CAUif2h0dHBzOi8vd3d3LmRpYXJpb2RvY2VudHJvZG9tdW5kby5jb20uYnIvZXNzZW5jaWFsL21vcmFlcy10ZW0tdW0tcGxhbm8tcGFyYS1xdWUtZWxlaWNvZXMtYWNvbnRlY2FtLXNlbS10dXJidWxlbmNpYXMtc2FpYmEtcXVhbC_SAQA&hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Highlights
Jardineiro ilhado em praia do Rio comeu carvão e limão para sobreviver,https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pIdG9YV0JSRWxYb3J6X254NlZDZ0FQAQ?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Highlights
Bolsonaro no Flow: checamos o presidente no podcast,https://news.google.com/articles/CBMimwFodHRwczovL2cxLmdsb2JvLmNvbS9yai9yaW8tZGUtamFuZWlyby9ub3RpY2lhLzIwMjIvMDgvMTUvamFyZGluZWlyby1pc29sYWRvLXBvci01LWRpYXMtZW0taWxoYS1uby1yaW8tY29udGEtcXVlLWNvbWV1LWxpbWFvLWUtY2FydmFvLXBhcmEtc29icmV2aXZlci5naHRtbNIBAA?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,politics
Miriam Leitão diz que redução de homicídios prejudica funerárias #boato,https://news.google.com/articles/CCAiCzQ0X1dJU3hzSU9vmAEB?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,blogs
Checamos o plano de governo de Bolsonaro,https://news.google.com/articles/CCAiC3hzY3U0X2htdmwwmAEB?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,politics
Vídeo engana ao afirmar que banqueiros apoiam Lula por supostos prejuízos ao setor provocados por Bolsonaro,https://news.google.com/articles/CAIiEA8zc0mdLzarBZpRWaI6WW8qGAgEKg8IACoHCAow99SrAjCQoBgwlMjRBg?uo=CAUihAFodHRwczovL29kaWEuaWcuY29tLmJyL3Jpby1kZS1qYW5laXJvLzIwMjIvMDgvNjQ2NDM5MC1ob21lbS1lLXJlc2dhdGFkby1hcG9zLWZpY2FyLWlzb2xhZG8tcG9yLWNpbmNvLWRpYXMtZW0taWxoYS1uYS16b25hLW9lc3RlLmh0bWzSAQA&hl=pt-BR&gl=BR&ceid=BR%3Apt-419,blogs
Farmacêutica japonesa Kowa comprova eficácia da ivermectina contra variante Ômicron da Covid-19 #boato,https://news.google.com/articles/CBMiaGh0dHBzOi8vd3d3Lm1ldHJvcG9sZXMuY29tL2JyYXNpbC9qYXJkaW5laXJvLWlsaGFkby1lbS1wcmFpYS1kby1yaW8tY29tZXUtY2FydmFvLWUtbGltYW8tcGFyYS1zb2JyZXZpdmVy0gFsaHR0cHM6Ly93d3cubWV0cm9wb2xlcy5jb20vYnJhc2lsL2phcmRpbmVpcm8taWxoYWRvLWVtLXByYWlhLWRvLXJpby1jb21ldS1jYXJ2YW8tZS1saW1hby1wYXJhLXNvYnJldml2ZXI_YW1w?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,economics
